wall_time,room_id,e2e_send_ts,e2e_consumer_done_ts,e2e_sink_arrival_ts,e2e_total_latency_ms,e2e_producer_to_consumer_ms,e2e_consumer_to_sink_ms,topic
1776723058.227,room_11,1776723058.215,1776723058.225,1776723058.227,12.404,10.6,1.806,room_alerts_mp
1776723059.219,room_12,1776723059.214,1776723059.217,1776723059.219,4.905,2.41,2.498,room_alerts_mp
1776723060.22,room_13,1776723060.216,1776723060.219,1776723060.22,4.562,3.27,1.295,room_alerts_mp
1776723061.224,room_14,1776723061.219,1776723061.223,1776723061.224,4.973,3.42,1.554,room_alerts_mp
1776723062.223,room_15,1776723062.22,1776723062.222,1776723062.223,2.77,1.55,1.215,room_alerts_mp
1776723063.229,room_01,1776723063.223,1776723063.228,1776723063.229,6.42,4.76,1.661,room_alerts_mp
1776723064.227,room_02,1776723064.224,1776723064.226,1776723064.227,3.33,1.72,1.605,room_alerts_mp
1776723065.233,room_03,1776723065.226,1776723065.231,1776723065.233,7.45,4.94,2.514,room_alerts_mp
1776723066.742,room_04,1776723066.228,1776723066.238,1776723066.742,513.778,9.59,504.184,room_alerts_mp
1776723067.235,room_05,1776723067.23,1776723067.233,1776723067.235,4.408,2.97,1.442,room_alerts_mp
1776723068.239,room_06,1776723068.233,1776723068.238,1776723068.239,6.07,4.46,1.614,room_alerts_mp
1776723069.241,room_07,1776723069.235,1776723069.239,1776723069.241,6.45,3.92,2.532,room_alerts_mp
1776723070.243,room_08,1776723070.236,1776723070.24,1776723070.243,6.893,3.72,3.172,room_alerts_mp
1776723071.246,room_09,1776723071.239,1776723071.245,1776723071.246,7.525,5.8,1.725,room_alerts_mp
1776723072.248,room_10,1776723072.242,1776723072.246,1776723072.248,6.177,3.99,2.189,room_alerts_mp
1776723073.253,room_11,1776723073.245,1776723073.248,1776723073.253,8.719,3.88,4.838,room_alerts_mp
1776723074.25,room_12,1776723074.246,1776723074.248,1776723074.25,3.613,1.69,1.925,room_alerts_mp
1776723075.259,room_13,1776723075.248,1776723075.257,1776723075.259,10.926,9.26,1.667,room_alerts_mp
1776723076.258,room_14,1776723076.248,1776723076.256,1776723076.258,9.306,7.18,2.126,room_alerts_mp
1776723077.256,room_15,1776723077.253,1776723077.254,1776723077.256,3.202,1.44,1.766,room_alerts_mp
1776723078.327,room_01,1776723078.258,1776723078.259,1776723078.327,69.092,1.34,67.751,room_alerts_mp
1776723079.275,room_02,1776723079.261,1776723079.273,1776723079.275,14.157,11.73,2.432,room_alerts_mp
1776723080.265,room_03,1776723080.262,1776723080.264,1776723080.265,3.402,1.57,1.836,room_alerts_mp
1776723081.267,room_04,1776723081.264,1776723081.266,1776723081.267,3.009,1.72,1.291,room_alerts_mp
1776723082.268,room_05,1776723082.265,1776723082.266,1776723082.268,3.78,1.6,2.179,room_alerts_mp
1776723083.275,room_06,1776723083.266,1776723083.273,1776723083.275,9.054,6.91,2.149,room_alerts_mp
1776723084.274,room_07,1776723084.268,1776723084.273,1776723084.274,6.026,4.59,1.44,room_alerts_mp
1776723085.275,room_08,1776723085.269,1776723085.272,1776723085.275,5.536,3.01,2.522,room_alerts_mp
1776723086.278,room_09,1776723086.275,1776723086.276,1776723086.278,3.67,1.48,2.185,room_alerts_mp
1776723087.281,room_10,1776723087.278,1776723087.28,1776723087.281,2.866,1.49,1.375,room_alerts_mp
1776723088.293,room_11,1776723088.281,1776723088.29,1776723088.293,11.912,9.41,2.498,room_alerts_mp
1776723089.303,room_12,1776723089.287,1776723089.29,1776723089.303,15.908,2.66,13.251,room_alerts_mp
1776723090.309,room_13,1776723090.29,1776723090.293,1776723090.309,19.405,3.49,15.914,room_alerts_mp
1776723091.296,room_14,1776723091.291,1776723091.293,1776723091.296,4.143,1.36,2.784,room_alerts_mp
1776723092.296,room_15,1776723092.293,1776723092.294,1776723092.296,3.349,1.41,1.935,room_alerts_mp
1776723093.299,room_01,1776723093.293,1776723093.297,1776723093.299,5.356,3.45,1.903,room_alerts_mp
1776723094.299,room_02,1776723094.295,1776723094.297,1776723094.299,3.518,1.76,1.763,room_alerts_mp
1776723095.304,room_03,1776723095.298,1776723095.301,1776723095.304,6.388,3.09,3.296,room_alerts_mp
1776723096.307,room_04,1776723096.301,1776723096.305,1776723096.307,6.138,4.58,1.56,room_alerts_mp
1776723097.309,room_05,1776723097.305,1776723097.307,1776723097.309,3.674,1.84,1.832,room_alerts_mp
1776723098.319,room_06,1776723098.306,1776723098.309,1776723098.319,12.9,2.5,10.402,room_alerts_mp
1776723099.314,room_07,1776723099.309,1776723099.313,1776723099.314,5.646,4.18,1.463,room_alerts_mp
1776723100.317,room_08,1776723100.31,1776723100.315,1776723100.317,6.911,5.44,1.472,room_alerts_mp
1776723101.319,room_09,1776723101.313,1776723101.316,1776723101.319,6.455,3.57,2.882,room_alerts_mp
1776723102.321,room_10,1776723102.314,1776723102.318,1776723102.321,6.9,3.71,3.191,room_alerts_mp
1776723103.324,room_11,1776723103.317,1776723103.321,1776723103.324,7.318,4.39,2.927,room_alerts_mp
1776723104.325,room_12,1776723104.319,1776723104.323,1776723104.325,5.623,3.73,1.894,room_alerts_mp
1776723105.327,room_13,1776723105.32,1776723105.325,1776723105.327,6.501,4.17,2.332,room_alerts_mp
1776723106.332,room_14,1776723106.325,1776723106.33,1776723106.332,6.92,5.39,1.533,room_alerts_mp
1776723107.332,room_15,1776723107.326,1776723107.331,1776723107.332,5.362,4.08,1.285,room_alerts_mp
1776723108.336,room_01,1776723108.328,1776723108.333,1776723108.336,7.802,4.91,2.896,room_alerts_mp
1776723109.338,room_02,1776723109.331,1776723109.336,1776723109.338,6.917,4.82,2.102,room_alerts_mp
1776723110.342,room_03,1776723110.332,1776723110.338,1776723110.342,9.147,5.36,3.788,room_alerts_mp
1776723111.339,room_04,1776723111.334,1776723111.337,1776723111.339,4.907,3.47,1.44,room_alerts_mp
1776723112.343,room_05,1776723112.337,1776723112.341,1776723112.343,5.666,3.92,1.741,room_alerts_mp
